ticker,name,sector,action,final_score,pre_score,quant_score,financial_score,qualitative_score,event_score,ev_score,risk_score,benchmark_score,reliability,expected_value_pct,up_probability,upside_pct,downside_pct,reselect_score,universe_status,financial_status,qualitative_note,event_note,cagr5,cagr10,one_year,sixty_day,sp5_diff,sp1_diff,max_dd5,max_dd1,price,price_time,gate_notes,missing_items
9984.T,ソフトバンクG,その他,買付不可,13.9,54.2,63.7,55.0,50.0,50.0,66.2,17.0,64.6,56.0,8.12,62.9,26.2,21.3,58.0,除外,未取得,質的データ未接続,イベント未接続,28.1,25.5,265.9,70.0,15.7,238.3,-50.8,-48.6,7222.0,2026-06-18 15:09,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
7011.T,三菱重工,AIインフラ,買付不可,11.5,51.6,44.5,43.0,56.0,66.2,79.4,47.2,46.3,88.0,14.7,61.8,33.7,15.0,70.2,除外,partial,データセンター・電力・冷却・電線/条件付き候補,確認 / 2.80%,65.9,27.4,17.2,-22.2,53.5,-10.4,-35.8,-26.6,3965.0,2026-06-18 15:09,100社再選定で除外 / 財務partial / 価格過熱・反動・指数劣後注意,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減
6146.T,ディスコ,半導体,買付不可,10.4,51.6,55.8,43.0,58.0,41.2,71.6,26.5,59.6,88.0,10.79,61.8,35,27.4,72.3,除外,partial,半導体材料・製造装置/条件付き候補,保留 / 1.54%,45.1,37.0,99.5,-15.6,32.7,72.0,-65.2,-24.7,85150.0,2026-06-18 15:09,100社再選定で除外 / 財務partial / 価格過熱・反動・指数劣後注意,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減
1801.T,大成建設,その他,買付不可,9.6,48.8,45.6,55.0,50.0,50.0,69.0,43.8,49.1,48.0,9.48,60.8,25.4,14.2,66.4,除外,未取得,質的データ未接続,イベント未接続,33.8,16.8,85.2,-24.3,21.5,57.7,-33.7,-33.7,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
1802.T,大林組,その他,買付不可,8.8,47.9,42.2,55.0,50.0,50.0,68.5,55.3,41.4,48.0,9.27,60.4,23.4,11.3,68.1,除外,未取得,質的データ未接続,イベント未接続,34.3,15.0,58.7,-19.6,21.9,31.1,-26.8,-26.8,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
1803.T,清水建設,その他,買付不可,8.2,47.7,41.9,55.0,50.0,50.0,65.5,53.3,42.0,48.0,7.76,60.4,21.4,11.9,66.2,除外,未取得,質的データ未接続,イベント未接続,27.9,13.7,72.1,-21.4,15.6,44.6,-28.4,-27.5,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6954.T,ファナック,その他,買付不可,7.8,49.2,46.2,55.0,50.0,50.0,53.8,45.4,43.8,60.0,1.92,60.9,14.4,16.5,54.5,除外,未取得,フィジカルAI/昇格検討,イベント未接続,10.9,11.6,109.7,15.0,-1.5,82.1,-39.4,-24.7,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
8766.T,東京海上HD,金融,買付不可,7.2,46.4,41.1,55.0,50.0,50.0,66.2,51.0,33.0,48.0,8.12,59.8,25.1,16.3,68.3,除外,未取得,質的データ未接続,イベント未接続,37.8,23.4,24.4,12.6,25.4,-3.2,-38.7,-18.1,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
7013.T,IHI,防衛・重工,買付不可,7.0,45.3,39.9,55.0,50.0,50.0,71.7,28.2,44.2,48.0,10.87,59.4,31.3,18.1,61.1,除外,未取得,質的データ未接続,イベント未接続,51.0,23.2,37.4,-34.2,38.6,9.9,-43.1,-43.1,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
3407.T,旭化成,その他,買付不可,6.5,47.0,40.4,55.0,50.0,50.0,57.8,59.6,34.5,48.0,3.92,60.1,14.5,11.0,60.5,除外,未取得,質的データ未接続,イベント未接続,10.5,12.4,79.4,-1.7,-1.9,51.9,-26.2,-21.8,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
