ticker,name,sector,action,final_score,pre_score,quant_score,financial_score,qualitative_score,event_score,ev_score,risk_score,benchmark_score,reliability,expected_value_pct,up_probability,upside_pct,downside_pct,reselect_score,universe_status,financial_status,qualitative_note,event_note,cagr5,cagr10,one_year,sixty_day,sp5_diff,sp1_diff,max_dd5,max_dd1,price,price_time,gate_notes,missing_items
6273.T,SMC,その他,買付不可,0.0,36.6,20.1,55.0,50.0,50.0,37.1,34.1,14.2,48.0,-6.43,56.1,6.6,22.1,34.7,除外,未取得,質的データ未接続,イベント未接続,2.0,10.7,27.2,-7.0,-10.3,-0.3,-52.7,-23.4,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6902.T,デンソー,その他,買付不可,0.0,35.3,15.3,55.0,50.0,50.0,37.6,45.9,6.6,48.0,-6.2,55.6,4.0,18.1,34.6,除外,未取得,質的データ未接続,イベント未接続,2.5,8.5,0.8,-14.0,-9.8,-26.8,-43.1,-19.5,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
2801.T,キッコーマン,その他,買付不可,0.0,37.0,18.2,55.0,50.0,50.0,38.7,54.3,7.3,48.0,-5.65,56.2,3.1,16.0,34.3,除外,未取得,質的データ未接続,イベント未接続,0.4,7.0,7.2,-4.9,-12.0,-20.3,-38.2,-14.3,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4452.T,花王,その他,買付不可,0.0,36.2,15.3,55.0,50.0,50.0,38.3,59.2,4.3,48.0,-5.85,55.9,0.8,13.4,32.4,除外,未取得,質的データ未接続,イベント未接続,0.3,2.0,-6.0,-8.1,-12.1,-33.5,-31.9,-15.4,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6645.T,オムロン,その他,買付不可,0.0,37.1,22.6,55.0,50.0,50.0,27.4,28.0,16.3,48.0,-11.28,56.3,3.2,29.0,32.2,除外,未取得,質的データ未接続,イベント未接続,-7.0,6.3,50.7,4.4,-19.4,23.2,-69.1,-22.7,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
9022.T,JR東海,その他,買付不可,0.0,36.0,15.1,55.0,50.0,50.0,39.7,51.6,9.4,48.0,-5.14,55.8,1.6,12.7,31.9,除外,未取得,質的データ未接続,イベント未接続,2.0,-0.2,11.3,-24.1,-10.3,-16.3,-30.3,-27.5,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
2432.T,ディー・エヌ・エー,その他,買付不可,0.0,35.4,16.3,55.0,50.0,50.0,35.7,41.7,7.9,48.0,-7.14,55.6,3.4,19.5,31.7,除外,未取得,質的データ未接続,イベント未接続,5.5,3.5,-0.2,5.4,-6.9,-27.7,-46.4,-21.0,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
7832.T,バンダイナムコHD,その他,買付不可,0.0,36.2,18.5,55.0,50.0,50.0,47.2,41.5,9.2,48.0,-1.41,55.9,9.8,14.7,31.4,除外,未取得,質的データ未接続,イベント未接続,9.1,17.6,-19.8,-9.9,-3.3,-47.3,-35.1,-35.1,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4385.T,メルカリ,その他,買付不可,0.0,38.7,26.1,55.0,50.0,50.0,25.4,24.7,23.7,48.0,-12.28,56.9,3.4,32,30.4,除外,未取得,質的データ未接続,イベント未接続,-5.0,0.0,71.5,12.9,-17.3,44.0,-77.2,-27.1,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
2502.T,アサヒGHD,その他,買付不可,0.0,35.6,14.3,55.0,50.0,50.0,39.8,55.9,4.0,48.0,-5.11,55.7,1.3,12.3,29.0,除外,未取得,質的データ未接続,イベント未接続,-0.5,4.3,-17.0,-11.6,-12.8,-44.5,-29.2,-23.1,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
7270.T,SUBARU,その他,買付不可,0.0,33.8,12.1,55.0,50.0,50.0,36.4,37.5,7.6,48.0,-6.81,55.0,2.0,16.6,26.9,除外,未取得,質的データ未接続,イベント未接続,6.3,-1.6,-2.6,-15.1,-6.1,-30.1,-39.6,-34.9,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4543.T,テルモ,その他,買付不可,0.0,35.7,17.8,55.0,50.0,50.0,39.8,40.9,6.2,48.0,-5.08,55.7,4.6,16.3,26.0,除外,未取得,質的データ未接続,イベント未接続,3.7,8.9,-10.7,18.0,-8.7,-38.3,-38.9,-31.3,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
9021.T,JR西日本,その他,買付不可,0.0,34.2,11.3,55.0,50.0,50.0,36.8,51.6,3.5,48.0,-6.59,55.2,0,13.8,23.5,除外,未取得,質的データ未接続,イベント未接続,-1.2,-0.5,-13.7,-20.7,-13.6,-41.3,-32.9,-24.3,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
7974.T,任天堂,その他,買付不可,0.0,31.5,10.3,55.0,50.0,50.0,37.7,13.2,6.0,56.0,-6.16,54.1,7.9,21.9,21.3,除外,未取得,質的データ未接続,イベント未接続,3.3,18.8,-41.3,-18.6,-9.1,-68.8,-52.1,-52.1,7137.0,2026-06-18 15:09,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4911.T,資生堂,その他,買付不可,0.0,32.4,11.3,55.0,50.0,50.0,21.4,25.0,6.7,48.0,-14.32,54.5,0,30.6,18.6,除外,未取得,質的データ未接続,イベント未接続,-18.9,-0.1,19.9,-14.9,-31.2,-7.6,-72.8,-26.7,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
8113.T,ユニ・チャーム,その他,買付不可,0.0,31.7,9.1,55.0,50.0,50.0,28.4,32.8,0.2,48.0,-10.79,54.2,0,22.7,17.8,除外,未取得,質的データ未接続,イベント未接続,-7.3,3.7,-13.5,-11.6,-19.6,-41.1,-54.0,-23.6,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4568.T,第一三共,その他,買付不可,0.0,31.5,10.5,55.0,50.0,50.0,33.3,17.6,5.7,48.0,-8.34,54.1,5.9,24.2,17.3,除外,未取得,質的データ未接続,イベント未接続,2.7,13.7,-30.4,-11.6,-9.6,-58.0,-57.7,-39.3,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4751.T,サイバーエージェント,その他,買付不可,0.0,30.7,9.0,55.0,50.0,50.0,23.0,20.9,0.0,48.0,-13.48,53.8,0,28.3,16.0,除外,未取得,質的データ未接続,イベント未接続,-8.6,8.3,-10.5,-4.3,-21.0,-38.0,-67.4,-32.1,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4523.T,エーザイ,その他,買付不可,0.0,30.7,6.9,55.0,50.0,50.0,22.2,26.7,1.5,48.0,-13.89,53.8,0,29.2,15.9,除外,未取得,質的データ未接続,イベント未接続,-9.1,-3.0,2.6,-23.2,-21.5,-24.9,-69.5,-24.4,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
3092.T,ZOZO,その他,買付不可,0.0,32.2,10.3,55.0,50.0,50.0,33.2,30.7,3.0,48.0,-8.38,54.4,1.8,19.7,15.7,除外,未取得,質的データ未接続,イベント未接続,-2.3,7.8,-34.8,-9.8,-14.6,-62.4,-46.8,-35.2,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
3659.T,ネクソン,その他,買付不可,0.0,29.9,6.6,55.0,50.0,50.0,32.4,15.8,3.1,48.0,-8.8,53.5,2.7,21.2,15.7,除外,未取得,質的データ未接続,イベント未接続,-2.0,10.1,-13.5,-29.7,-14.3,-41.0,-50.5,-50.5,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6594.T,ニデック,その他,買付不可,0.0,29.9,8.2,55.0,50.0,50.0,21.1,13.1,0.0,48.0,-14.43,53.5,0,30.2,14.3,除外,未取得,質的データ未接続,イベント未接続,-15.1,3.3,-4.6,11.4,-27.4,-32.1,-71.8,-42.5,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
9843.T,ニトリHD,その他,買付不可,0.0,30.3,6.3,55.0,50.0,50.0,28.6,25.3,0.3,48.0,-10.7,53.6,0,22.2,12.3,除外,未取得,質的データ未接続,イベント未接続,-7.1,1.9,-13.4,-18.9,-19.5,-40.9,-52.9,-35.0,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4661.T,オリエンタルランド,その他,買付不可,0.0,28.7,4.4,55.0,50.0,50.0,24.7,13.1,0.3,48.0,-12.67,53.0,0,26.1,10.6,除外,未取得,質的データ未接続,イベント未接続,-7.0,4.7,-27.4,-19.9,-19.4,-54.9,-62.2,-42.5,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4755.T,楽天グループ,その他,買付不可,0.0,30.0,6.5,55.0,50.0,50.0,23.9,21.4,0.0,48.0,-13.03,53.5,0,27.2,10.3,除外,未取得,質的データ未接続,イベント未接続,-10.1,-4.1,-6.4,-8.9,-22.4,-33.9,-64.7,-31.5,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4689.T,LINEヤフー,その他,買付不可,0.0,30.5,8.3,55.0,50.0,50.0,25.8,18.5,2.3,48.0,-12.12,53.7,0,25.3,9.4,除外,未取得,質的データ未接続,イベント未接続,-3.4,-0.2,-20.3,11.2,-15.8,-47.8,-60.3,-35.3,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6869.T,シスメックス,その他,買付不可,0.0,28.3,4.5,55.0,50.0,50.0,19.8,8.0,0.0,48.0,-15.09,52.9,0,31.2,3.1,除外,未取得,質的データ未接続,イベント未接続,-17.2,-5.4,-42.1,-0.1,-29.6,-69.6,-74.2,-49.3,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
2413.T,エムスリー,その他,買付不可,0.0,27.5,2.4,55.0,50.0,50.0,18.9,6.4,0.0,48.0,-15.57,52.6,0,32,1.6,除外,未取得,質的データ未接続,イベント未接続,-27.7,-0.8,-30.3,-14.6,-40.1,-57.8,-86.8,-51.4,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
