updated_at,ticker,company,usefulness_level,primary_purpose,official_two_earnings_status,target_formula_available_points,proxy_score_100,sales_momentum_pctile,profit_momentum_pctile,price_1y_pctile,liquidity_pctile,drawdown_resilience_pctile,revenue_yoy_pct,revenue_cagr_3period_pct,profit_yoy_pct,profit_cagr_3period_pct,ret1y_pct,volume_ratio20,max_drawdown60_pct,score_use_status,required_next_step,proxy_rank
2026/05/22 13:56,5108.T,ブリヂストン,B 観察継続,NISA 1年保有,未入力,50,24.2,15.2,15,36.4,16.7,72.7,0,1.3,-14,-11,10.1,0.3,-14.9,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,50
2026/05/22 13:56,9202.T,ANA HD,D 低優先・比較のみ,景気・マクロ感応,未入力,5,24.2,,,26.3,22.2,23.2,,,,,-2.4,0.31,-23.6,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,3659.T,ネクソン,C データ補完後に判定,テンバガー探索,未入力,5,23.5,,,14.1,59.1,2,,,,,-10.7,0.45,-34,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,4568.T,第一三共,C データ補完後に判定,NISA 1年保有,未入力,5,23.1,,,4,22.2,52.5,,,,,-28.8,0.31,-18.4,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,8113.T,ユニ・チャーム,C データ補完後に判定,NISA 1年保有,未入力,5,20.9,,,10.1,0.5,57.6,,,,,-17.2,0.17,-17.2,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,4519.T,中外製薬,C データ補完後に判定,NISA 1年保有,未入力,5,19.8,,,33.3,12.1,7.1,,,,,7,0.29,-28.8,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,7267.T,ホンダ,B 観察継続,景気・マクロ感応,未入力,50,16.8,26.5,0,23.2,16.7,37.4,0.5,3.3,-134.1,,-4,0.3,-21,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,51
2026/05/22 13:56,9843.T,ニトリHD,C データ補完後に判定,NISA 1年保有,未入力,5,14.7,,,9.1,33.8,4,,,,,-18.9,0.34,-33.2,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,7270.T,SUBARU,B 観察継続,景気・マクロ感応,未入力,50,14.3,20.6,1,17.2,36.9,15.2,2.1,0.9,-90.1,-70.7,-6.9,0.35,-25.9,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,52
2026/05/22 13:56,2413.T,エムスリー,C データ補完後に判定,テンバガー探索,未入力,5,14.3,,,5.1,16.7,25.8,,,,,-28.5,0.3,-23.5,データ不足,直近2回決算と会社予想修正を公式資料から入力,
