date,quote_time_jst,captured_at_jst,symbol,price_yen,quantity,market_value_yen,quote_status,source
2026-07-21,15:30:00,2026-07-21 15:00:00,8316.T,6951,13,90363,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-21,15:30:00,2026-07-21 15:00:00,8411.T,8302,10,83020,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-21,15:30:00,2026-07-21 15:00:00,8591.T,6502,13,84526,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-21,15:30:00,2026-07-21 15:00:00,8630.T,6946,12,83352,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-21,15:30:00,2026-07-21 15:00:00,8750.T,1877.5,10,18775,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-21,15:30:00,2026-07-21 15:00:00,8766.T,7874,12,94488,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-21,15:30:00,2026-07-21 15:00:00,8795.T,4996,14,69944,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-21,15:30:00,2026-07-21 15:00:00,9432.T,151.7,500,75850,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-21,15:30:00,2026-07-21 15:00:00,9433.T,2881.5,23,66274.5,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-21,15:30:00,2026-07-21 15:00:00,9697.T,3410,7,23870,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-21,15:30:00,2026-07-21 15:00:00,9983.T,80840,2,161680,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:22,2026-07-22 11:00:00,1801.T,13790,3,41370,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:22,2026-07-22 11:00:00,1812.T,5656,14,79184,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:22,2026-07-22 11:00:00,5333.T,6363,5,31815,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:36,2026-07-22 11:00:00,5803.T,4982,8,39856,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:27,2026-07-22 11:00:00,6146.T,70900,1,70900,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:26,2026-07-22 11:00:00,6383.T,6456,6,38736,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:34,2026-07-22 11:00:00,6501.T,4818,15,72270,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:35,2026-07-22 11:00:00,6503.T,5737,14,80318,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:33,2026-07-22 11:00:00,6504.T,13225,6,79350,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:34,2026-07-22 11:00:00,6762.T,3177,23,73071,OK,Yahoo Finance JP full-market screener (delayed)
