updated_at,ticker,month,month_close,monthly_return_pct,monthly_volume,source
2026/05/20 01:43,4519.T,2024-08,6932,-6.121,47701900,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2024-09,7340,5.886,51845700,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2024-10,6598,-10.109,45788900,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2024-11,6999,6.078,37756300,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2024-12,6734,-3.786,38559700,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2025-01,7487,11.182,40357000,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2025-02,6799,-9.189,47050100,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2025-03,8219,20.885,64348700,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2025-04,7583,-7.738,48466800,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2025-05,7525,-0.765,38622600,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2025-06,7360,-2.193,53402500,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2025-07,6509,-11.562,98019000,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2025-08,6448,-0.937,61622100,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2025-09,7049,9.321,67811200,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2025-10,8374,18.797,52943400,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2025-11,8243,-1.564,40611700,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2025-12,8801,6.769,42926100,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2026-01,10455,18.793,49664000,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2026-02,8611,-17.637,49648700,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2026-03,8116,-5.748,66738800,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2026-04,7885,-2.846,31079100,Yahoo Finance chart API 1mo
2026/05/20 01:43,4519.T,2026-05,7936,0.647,2367900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2018-05,631.1,,1342773400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2018-06,689.4,9.238,1419143900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2018-07,670.8,-2.698,1142220700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2018-08,709.1,5.71,1027620200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2018-09,684.8,-3.427,1449060400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2018-10,624.5,-8.805,1425642900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2018-11,537.9,-13.867,1235600300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2018-12,583.6,8.496,883711000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2019-01,576.7,-1.182,873876300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2019-02,550,-4.63,805795500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2019-03,549.9,-0.018,803524200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2019-04,501.1,-8.874,1092064900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2019-05,512,2.175,845882500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2019-06,524.2,2.383,768818300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2019-07,510.4,-2.633,883178500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2019-08,548.4,7.445,1072862500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2019-09,569.8,3.902,863856600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2019-10,578.1,1.457,823009300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2019-11,593.2,2.612,794365100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2019-12,568.5,-4.164,731624000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2020-01,531.9,-6.438,941796100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2020-02,403,-24.234,2624057900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2020-03,434.3,7.767,1592251200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2020-04,444.2,2.28,1225982400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2020-05,421.6,-5.088,1510955000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2020-06,393.2,-6.736,1191655700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2020-07,442.5,12.538,1046936600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2020-08,416.1,-5.966,1060772800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2020-09,410.2,-1.418,854553000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2020-10,448.5,9.337,1569368800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2020-11,456.1,1.695,1071006500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2020-12,469.3,2.894,1181403600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2021-01,558,18.9,1365052500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2021-02,591.7,6.039,2287854600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2021-03,578,-2.315,1082415600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2021-04,620,7.266,1091130800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2021-05,600.1,-3.21,1019511800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2021-06,578.5,-3.599,831653700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2021-07,594.4,2.748,801458900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2021-08,657.9,10.683,1414187200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2021-09,622.5,-5.381,1157766300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2021-10,601.4,-3.39,947497400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2021-11,624.9,3.908,856406100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2021-12,691.1,10.594,1393652100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2022-01,712.8,3.14,1203756900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2022-02,760.3,6.664,1796859000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2022-03,754.3,-0.789,771708200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2022-04,729.7,-3.261,913702500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2022-05,729.4,-0.041,1034122000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2022-06,745.4,2.194,957532300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2022-07,721.1,-3.26,967952900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2022-08,651.5,-9.652,1154575700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2022-09,699.5,7.368,1158019300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2022-10,755.1,7.949,1032880300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2022-11,889,17.733,1869015500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2022-12,952.7,7.165,2165790600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2023-01,965.1,1.302,1398399700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2023-02,847.9,-12.144,2416357500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2023-03,852.9,0.59,1312068700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2023-04,932.5,9.333,1550906400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2023-05,1065,14.209,1750719100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2023-06,1146,7.606,1526439700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2023-07,1163.5,1.527,1439727900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2023-08,1268.5,9.024,1817768500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2023-09,1257,-0.907,1424348900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2023-10,1255,-0.159,1615258000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2023-11,1211.5,-3.466,1365477100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2023-12,1395,15.147,1334223100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2024-01,1542,10.538,1397788800,Yahoo Finance chart API 1mo
