updated_at,benchmark,benchmark_ticker,trigger_pct,event_date,benchmark_daily_return_pct,ticker,company,structural_rating,stock_return_1d_pct,benchmark_return_1d_pct,excess_1d_pct,stock_return_5d_pct,benchmark_return_5d_pct,excess_5d_pct,stock_return_20d_pct,benchmark_return_20d_pct,excess_20d_pct
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-06,-1.90,6920.T,レーザーテック,A,-2.00,-0.21,-1.79,-1.57,-0.80,-0.77,9.78,2.27,7.51
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-06,-1.90,6857.T,アドバンテスト,B,-5.54,-0.21,-5.32,-2.18,-0.80,-1.38,-4.40,2.27,-6.67
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-06,-1.90,6762.T,TDK,B,-2.46,-0.21,-2.25,-0.12,-0.80,0.68,-4.81,2.27,-7.09
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-13,-2.29,8035.T,東京エレクトロン,S,-6.07,0.13,-6.21,-4.16,-3.46,-0.69,-7.11,1.42,-8.53
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-13,-2.29,7735.T,SCREEN HD,A,2.03,0.13,1.90,3.18,-3.46,6.65,5.06,1.42,3.64
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-13,-2.29,6146.T,ディスコ,A-,-2.35,0.13,-2.49,-2.40,-3.46,1.07,0.78,1.42,-0.64
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-13,-2.29,6920.T,レーザーテック,A,-3.88,0.13,-4.02,-4.36,-3.46,-0.90,6.33,1.42,4.91
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-13,-2.29,6857.T,アドバンテスト,B,-5.52,0.13,-5.65,0.80,-3.46,4.26,0.56,1.42,-0.86
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-13,-2.29,6762.T,TDK,B,-0.69,0.13,-0.82,-2.45,-3.46,1.02,-8.36,1.42,-9.78
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-20,-2.15,8035.T,東京エレクトロン,S,-7.14,0.88,-8.02,-2.15,5.83,-7.99,-4.00,5.57,-9.57
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-20,-2.15,7735.T,SCREEN HD,A,-4.28,0.88,-5.17,-0.81,5.83,-6.64,-1.31,5.57,-6.88
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-20,-2.15,6146.T,ディスコ,A-,-7.07,0.88,-7.95,-7.49,5.83,-13.32,-5.39,5.57,-10.96
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-20,-2.15,6920.T,レーザーテック,A,-5.15,0.88,-6.03,0.45,5.83,-5.39,2.02,5.57,-3.55
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-20,-2.15,6857.T,アドバンテスト,B,-12.10,0.88,-12.98,-1.25,5.83,-7.08,-7.87,5.57,-13.44
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-11-20,-2.15,6762.T,TDK,B,-3.09,0.88,-3.98,2.77,5.83,-3.06,-11.78,5.57,-17.35
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-12-12,-1.69,8035.T,東京エレクトロン,S,-1.14,-0.59,-0.55,-0.95,0.48,-1.44,35.21,2.22,32.99
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-12-12,-1.69,7735.T,SCREEN HD,A,-0.42,-0.59,0.18,-3.07,0.48,-3.55,27.93,2.22,25.71
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-12-12,-1.69,6146.T,ディスコ,A-,-2.27,-0.59,-1.68,-8.38,0.48,-8.86,21.08,2.22,18.86
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-12-12,-1.69,6920.T,レーザーテック,A,-2.51,-0.59,-1.92,-8.24,0.48,-8.72,15.79,2.22,13.57
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-12-12,-1.69,6857.T,アドバンテスト,B,-6.42,-0.59,-5.83,-7.65,0.48,-8.13,8.20,2.22,5.98
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-12-12,-1.69,6762.T,TDK,B,-4.10,-0.59,-3.51,-6.09,0.48,-6.58,-12.63,2.22,-14.85
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-12-17,-1.81,8035.T,東京エレクトロン,S,-3.22,1.38,-4.60,6.07,4.05,2.01,31.16,3.62,27.54
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-12-17,-1.81,7735.T,SCREEN HD,A,-2.37,1.38,-3.75,13.89,4.05,9.84,36.83,3.62,33.21
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-12-17,-1.81,6146.T,ディスコ,A-,-3.60,1.38,-4.98,3.19,4.05,-0.87,30.92,3.62,27.30
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-12-17,-1.81,6920.T,レーザーテック,A,-4.26,1.38,-5.64,1.35,4.05,-2.71,23.34,3.62,19.72
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-12-17,-1.81,6857.T,アドバンテスト,B,-3.32,1.38,-4.70,3.65,4.05,-0.40,10.46,3.62,6.84
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2025-12-17,-1.81,6762.T,TDK,B,-0.20,1.38,-1.58,-1.01,4.05,-5.07,-10.91,3.62,-14.53
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-01-20,-2.39,8035.T,東京エレクトロン,S,0.32,1.18,-0.86,2.56,3.76,-1.20,5.62,-0.87,6.50
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-01-20,-2.39,7735.T,SCREEN HD,A,0.28,1.18,-0.90,7.39,3.76,3.63,17.49,-0.87,18.36
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-01-20,-2.39,6146.T,ディスコ,A-,-2.38,1.18,-3.56,14.88,3.76,11.12,19.72,-0.87,20.59
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-01-20,-2.39,6920.T,レーザーテック,A,1.58,1.18,0.40,2.41,3.76,-1.34,-13.49,-0.87,-12.61
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-01-20,-2.39,6857.T,アドバンテスト,B,1.33,1.18,0.15,16.15,3.76,12.39,25.48,-0.87,26.36
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-01-20,-2.39,6762.T,TDK,B,-0.13,1.18,-1.30,-2.37,3.76,-6.13,22.87,-0.87,23.75
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-04,-1.51,8035.T,東京エレクトロン,S,-1.74,-1.59,-0.16,1.47,0.71,0.77,2.68,-0.68,3.36
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-04,-1.51,7735.T,SCREEN HD,A,-3.86,-1.59,-2.27,1.96,0.71,1.25,-0.79,-0.68,-0.11
