再計算順位,コード,銘柄,旧10社,再選定点,最終扱い,5年CAGR,10年CAGR,直近1年騰落率,60日騰落率,5年S&P差,直近1年S&P差,5年最大下落率,直近1年最大下落率,月次勝率,取得項目数,除外理由,確認事項
24,6971.T,京セラ,,69.5,再選定候補,16.4,11.4,92.3,20.3,4,64.8,-32.9,-16,63.3,8,,主要指標で通過
25,7012.T,川崎重工業,,69.3,再選定候補,45.3,18.7,59.2,-11.6,32.9,31.7,-42.6,-23.1,61.7,8,,主要指標で通過
26,8766.T,東京海上HD,,68.3,除外,37.8,23.4,24.4,12.6,25.4,-3.2,-38.7,-18.1,61.7,8,直近1年でS&P500に劣後,
27,1802.T,大林組,,68.1,除外,34.3,15,58.7,-19.6,21.9,31.1,-26.8,-26.8,63.3,8,直近60日が弱い,
28,2802.T,味の素,,68,再選定候補,34.3,16.2,45.9,6.1,22,18.4,-25.6,-25.6,65,8,,主要指標で通過
29,7735.T,SCREEN HD,,67.9,監視,37.1,25.7,113.5,-6,24.8,86,-59.1,-23.8,55,8,,5年最大下落率が大きい
30,8035.T,東京エレクトロン,,66.5,監視,29.5,38.2,130.3,16.6,17.1,102.7,-55.8,-28.8,60,8,,5年最大下落率が大きい
31,1801.T,大成建設,,66.4,除外,33.8,16.8,85.2,-24.3,21.5,57.7,-33.7,-33.7,63.3,8,直近60日が弱い,
32,1803.T,清水建設,,66.2,除外,27.9,13.7,72.1,-21.4,15.6,44.6,-28.4,-27.5,63.3,8,直近60日が弱い,
33,6762.T,TDK,,66.1,再選定候補,34.9,26.5,146.4,57.7,22.6,118.9,-46.3,-28.2,53.3,8,,主要指標で通過
34,5019.T,出光興産,,65.6,再選定候補,24.9,15.3,57.8,-5.3,12.5,30.3,-29.7,-21.3,60,8,,主要指標で通過
35,9434.T,ソフトバンク,,63.9,除外,14.3,,1.5,5.4,1.9,-26,-14.5,-14.1,68.3,7,直近1年でS&P500に劣後,
36,6301.T,コマツ,,62,再選定候補,18.6,17,51.8,-13.5,6.3,24.3,-31.4,-23.7,60,8,,主要指標で通過
37,6723.T,ルネサス,,62,監視,30.7,21.3,147.9,48.2,18.4,120.3,-58.6,-30.7,58.3,8,,5年最大下落率が大きい
38,6920.T,レーザーテック,,61.9,監視,17,63,171.6,19.8,4.7,144.1,-76.6,-27.1,56.7,8,,5年最大下落率が大きい
39,7013.T,IHI,,61.1,除外,51,23.2,37.4,-34.2,38.6,9.9,-43.1,-43.1,58.3,8,直近60日が弱い / 直近1年の下落率が大きい,
40,4063.T,信越化学工業,,61.1,再選定候補,16.5,21.6,63.6,23.9,4.2,36.1,-47.1,-14.9,55,8,,主要指標で通過
41,3407.T,旭化成,,60.5,除外,10.5,12.4,79.4,-1.7,-1.9,51.9,-26.2,-21.8,55,8,5年でS&P500に劣後,
42,4502.T,武田薬品,,58.4,除外,11.3,5,26.2,-9.1,-1.1,-1.3,-19.1,-14.1,58.3,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
43,9984.T,ソフトバンクG,,58,除外,28.1,25.5,265.9,70,15.7,238.3,-50.8,-48.6,48.3,8,直近1年の下落率が大きい / 急騰後の反動確認が必要,
44,9433.T,KDDI,,57.8,除外,10.9,8.9,11.8,3,-1.5,-15.8,-16.8,-12.1,60,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
45,6701.T,NEC,,57,除外,34,25.2,9.9,-0.2,21.6,-17.6,-39.5,-39.5,68.3,8,直近1年でS&P500に劣後 / 直近1年の下落率が大きい,
46,6201.T,豊田自動織機,,55.8,除外,18.5,18.2,14.5,1.2,6.1,-13,-43.2,-12,56.7,8,直近1年でS&P500に劣後,
47,5108.T,ブリヂストン,,54.6,除外,10.4,9.9,13.7,-9.5,-1.9,-13.8,-26.4,-15.4,58.3,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
48,6954.T,ファナック,,54.5,除外,10.9,11.6,109.7,15,-1.5,82.1,-39.4,-24.7,53.3,8,5年でS&P500に劣後,
49,2503.T,キリンHD,,52.6,除外,7.8,6.8,35.8,2.9,-4.6,8.3,-21.8,-12.8,51.7,8,5年でS&P500に劣後,
50,7202.T,いすゞ自動車,,51.8,除外,13.4,9.4,23.9,-18.5,1,-3.6,-26.5,-25.9,56.7,8,直近1年でS&P500に劣後 / 直近60日が弱い,
51,6702.T,富士通,,50.9,除外,15.7,24.9,7.5,0.1,3.3,-20,-33.2,-33,58.3,8,直近1年でS&P500に劣後,
