順位,コード,銘柄,長期安定性スコア,判定,データ年数,5年CAGR,10年CAGR,5年S&P差,5年日経差,5年年率ボラ,5年最大下落率,月次勝率,S&P相関,S&Pベータ,リターン点,安定性点,継続性点,確認事項
66,4503.T,アステラス製薬,42.2,長期安定性は弱い,10,7.8,6.8,-4.6,-9.5,23.2,-41.6,55,-0.08,-0.12,43.5,42.9,39.1,S&P500に劣後
67,9202.T,ANA HD,41.6,長期安定性は弱い,10,2.8,0,-9.5,-14.5,19.1,-26.2,48.3,0.18,0.21,35,54.8,33.6,S&P500に劣後 / 上昇月の比率が低い
68,9022.T,JR東海,40.3,長期安定性は弱い,10,2,-0.2,-10.3,-15.3,18.2,-30.3,50,0.01,0.01,33.7,53.9,31.9,S&P500に劣後 / 上昇月の比率が低い
69,6861.T,キーエンス,40,長期安定性は弱い,10,7.6,16.5,-4.7,-9.7,29.3,-39.8,55,0.6,1.11,43.2,37,39,S&P500に劣後
70,2502.T,アサヒGHD,38.1,長期安定性は弱い,10,-0.5,4.3,-12.8,-17.8,20.1,-29.2,51.7,-0.1,-0.13,29.4,53.8,30.2,S&P500に劣後 / 上昇月の比率が低い
71,4452.T,花王,37.9,長期安定性は弱い,10,0.3,2,-12.1,-17,17.6,-31.9,46.7,0.02,0.02,30.7,50.7,31.6,S&P500に劣後 / 上昇月の比率が低い
72,9021.T,JR西日本,37,長期安定性は弱い,10,-1.2,-0.5,-13.6,-18.5,15.3,-32.9,46.7,-0.02,-0.02,28.2,52.7,29.3,S&P500に劣後 / 上昇月の比率が低い
73,7270.T,SUBARU,36.5,長期安定性は弱い,10,6.3,-1.6,-6.1,-11,26.9,-39.6,55,0.11,0.19,40.9,40,24.8,S&P500に劣後
74,6902.T,デンソー,35.6,長期安定性は弱い,10,2.5,8.5,-9.8,-14.8,23.7,-43.1,55,0.49,0.73,34.5,41.1,29.9,S&P500に劣後
75,4543.T,テルモ,35.2,長期安定性は弱い,10,3.7,8.9,-8.7,-13.7,26.3,-38.9,48.3,0.27,0.44,36.4,35.9,32.4,S&P500に劣後 / 上昇月の比率が低い
