screening_rank,updated_at,universe_rank,ticker,company,sector,theme,universe_score_100,decision,growth_score_25,quality_valuation_score_25,momentum_score_20,size_score_10,data_score_10,risk_penalty,market_cap_display,market_cap_million_jpy,per_forecast,pbr_actual,roe_actual_pct,dividend_yield_pct,revenue_yoy_pct,revenue_cagr_3period_pct,profit_metric_used,profit_yoy_pct,profit_cagr_3period_pct,price_date,close,ret60_pct,ret1y_pct,above_ma200_pct,volume_ratio20,max_drawdown60_pct,quote_status,performance_status,chart_status,selection_reason
38,2026/05/21 13:29,52,8031.T,三井物産,商社,資源・還元,42,今回は見送り,4,17,14,4,10,7,16.31兆円,16311411,17.54,1.84,10.22,2.46,-4.6,2.5,経常利益,-4.2,-8.6,2026-05-21,5706,4.7,90.6,22.7,0.36,-16.5,取得,取得,取得,成長4/25 / 質/割安17/25 / 株価14/20 / 規模4/10 / 利益CAGRマイナス / 出来高倍率0.36倍
39,2026/05/21 13:29,9,9432.T,NTT,通信,守り・通信インフラ,40,今回は見送り,4,21,6,4,10,5,13.96兆円,13962859,12.81,1.29,10.4,3.5,5.1,3.8,営業利益,3.4,-5.8,2026-05-21,154.2,0.8,1,-0.9,0.63,-6.7,取得,取得,取得,成長4/25 / 質/割安21/25 / 株価6/20 / 規模4/10 / 利益CAGRマイナス
40,2026/05/21 13:29,42,6301.T,コマツ,建機,資源・インフラ,40,今回は見送り,4,18,9,6,10,7,5.85兆円,5848121,17.81,1.61,11.26,3.02,0.7,3.4,経常利益,-13.7,-3.3,2026-05-21,6295,-17.2,44.3,8.5,0.31,-22,取得,取得,取得,成長4/25 / 質/割安18/25 / 株価9/20 / 規模6/10 / 利益CAGRマイナス / 出来高倍率0.31倍
41,2026/05/21 13:29,51,8001.T,伊藤忠商事,商社,資源・非資源,40,今回は見送り,4,21,8,4,10,7,15.45兆円,15452673,14.35,2.07,14.59,2.26,0.7,2.8,営業利益,-39.2,-20,2026-05-21,1953.5,-11.6,28.5,3.6,0.31,-15.2,取得,取得,取得,成長4/25 / 質/割安21/25 / 株価8/20 / 規模4/10 / 利益CAGRマイナス / 出来高倍率0.31倍
42,2026/05/21 13:29,2,6758.T,ソニーグループ,エンタメ/半導体,ゲーム・音楽・画像センサー,38,今回は見送り,14,9,3,4,10,2,21.88兆円,21881026,18.12,2.59,-4.01,0.98,3.7,5.3,営業利益,2.9,9.4,2026-05-21,3558,2.4,-3.1,-7.9,0.41,-14.5,取得,取得,取得,成長14/25 / 質/割安9/25 / 株価3/20 / 規模4/10 / 出来高倍率0.41倍
43,2026/05/21 13:29,50,5108.T,ブリヂストン,タイヤ,タイヤ・価格転嫁,37,今回は見送り,4,21,3,6,10,7,4.47兆円,4465022,12.53,1.15,8.85,3.73,0,1.3,営業利益,-14,-11,2026-05-21,3352,-8.2,10.1,-2.6,0.3,-14.9,取得,取得,取得,成長4/25 / 質/割安21/25 / 株価3/20 / 規模6/10 / 利益CAGRマイナス / 出来高倍率0.3倍
44,2026/05/21 13:29,15,7974.T,任天堂,ゲーム,新ハード・IP,36,今回は見送り,12,17,0,6,10,9,9.43兆円,9429180,27.24,2.86,14.94,2.21,98.6,17.6,営業利益,27.5,-17.5,2026-05-21,7316,-15.3,-35.1,-34.1,0.56,-32.8,取得,取得,取得,成長12/25 / 質/割安17/25 / 株価0/20 / 規模6/10 / 利益CAGRマイナス / 60日最大下落-32.8%
45,2026/05/21 13:29,34,6273.T,SMC,FA,空圧機器・自動化,36,今回は見送り,4,15,8,6,10,7,4.1兆円,4100413,23.84,1.92,8.28,1.56,6.4,4.1,営業利益,0.2,-1.5,2026-05-21,64520,-9.5,17.7,10.1,0.44,-23.7,取得,取得,取得,成長4/25 / 質/割安15/25 / 株価8/20 / 規模6/10 / 利益CAGRマイナス / 出来高倍率0.44倍
46,2026/05/21 13:29,43,6326.T,クボタ,機械,農機・水インフラ,35,今回は見送り,0,15,11,6,10,7,3.1兆円,3099018,14.74,1.15,7.32,1.91,0.1,0,営業利益,-15.9,-10.1,2026-05-21,2725,-8.3,66.8,19.3,0.43,-23.6,取得,取得,取得,成長0/25 / 質/割安15/25 / 株価11/20 / 規模6/10 / 利益CAGRマイナス / 出来高倍率0.43倍
47,2026/05/21 13:29,49,7202.T,いすゞ自動車,商用車,商用車・新興国,35,今回は見送り,4,21,3,8,10,11,1.52兆円,1518353,9.47,1.02,9.46,4.26,7.5,1.1,営業利益,-11.2,-15,2026-05-21,2212,-21.3,14.9,-1.9,0.22,-27.3,取得,取得,取得,成長4/25 / 質/割安21/25 / 株価3/20 / 規模8/10 / 利益CAGRマイナス / 60日最大下落-27.3% / 出来高倍率0.22倍
48,2026/05/21 13:29,1,7203.T,トヨタ自動車,自動車,世界販売・円安・HV/EV,34,今回は見送り,7,21,3,4,10,11,47.23兆円,47227013,12.99,0.98,10.15,3.34,5.5,6,営業利益,-21.5,-16.1,2026-05-21,2994,-19.7,12.5,-6.1,0.44,-27.9,取得,取得,取得,成長7/25 / 質/割安21/25 / 株価3/20 / 規模4/10 / 利益CAGRマイナス / 60日最大下落-27.9% / 出来高倍率0.44倍
49,2026/05/21 13:29,27,6526.T,ソシオネクスト,半導体,ASIC・AI半導体,34,今回は見送り,0,6,18,9,10,9,"4,768億円",476827,46.44,3.49,6.47,1.89,6.5,-4.7,営業利益,-50.6,-41,2026-05-21,2659,31.2,38.6,12.5,1.34,-15.3,取得,取得,取得,成長0/25 / 質/割安6/25 / 株価18/20 / 規模9/10 / 利益CAGRマイナス / 売上CAGRマイナス
