updated_at,market_symbol,market_name,month,month_close,market_return_1m_pct,market_return_3m_pct,source
2026/05/20 02:25,^N225,日経平均,2022-12,27327.109,4.724,-0.944,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2023-01,27445.561,0.433,-1.871,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2023-02,28041.48,2.171,7.461,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2023-03,28856.439,2.906,5.596,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2023-04,30887.881,7.04,12.542,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2023-05,33189.039,7.45,18.357,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2023-06,33172.219,-0.051,14.956,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2023-07,32619.34,-1.667,5.606,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2023-08,31857.619,-2.335,-4.012,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2023-09,30858.85,-3.135,-6.974,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2023-10,33486.891,8.516,2.66,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2023-11,33464.172,-0.068,5.043,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2023-12,36286.711,8.435,17.589,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2024-01,39166.191,7.935,16.96,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2024-02,40369.441,3.072,20.635,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2024-03,38405.66,-4.865,5.839,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2024-04,38487.898,0.214,-1.732,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2024-05,39583.078,2.846,-1.948,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2024-06,39101.82,-1.216,1.813,Yahoo Finance chart API 1mo
