base_date,channel,channel_name,ticker,name,category,start_date,end_date,price_base,price_1y,return_1y,max_drawdown_1y,sp500_return_1y,nikkei_return_1y,excess_vs_sp500,excess_vs_nikkei,pass_fail,fail_reason,data_source,error
2024-06-01,ch3,データセンター・電力・冷却・電線,6503.T,三菱電機,購入検討候補,2024-06-03,2025-05-30,2671.31,2868.75,7.39,-33.95,11.89,-2.46,-4.50,9.85,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch3,データセンター・電力・冷却・電線,6501.T,日立製作所,購入検討候補,2024-06-03,2025-05-30,3238.36,3999.35,23.50,-38.70,11.89,-2.46,11.61,25.96,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6501.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch3,データセンター・電力・冷却・電線,5803.T,フジクラ,条件付き,2024-06-03,2025-05-30,497.67,1106.89,122.41,-50.66,11.89,-2.46,110.52,124.87,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/5803.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch3,データセンター・電力・冷却・電線,5801.T,古河電工,条件付き,2024-06-03,2025-05-30,3928.78,6831.24,73.88,-52.06,11.89,-2.46,61.99,76.34,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/5801.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2025-06-01,ch1,総合,8316.T,三井住友FG,購入検討候補,2025-06-02,2026-06-01,3538.61,5898.00,66.68,-19.26,27.70,78.79,38.98,-12.12,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8316.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch1,総合,8306.T,三菱UFJ FG,購入検討候補,2025-06-02,2026-06-01,1924.08,3031.00,57.53,-16.87,27.70,78.79,29.83,-21.26,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8306.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch1,総合,8725.T,MS&AD,購入検討候補,2025-06-02,2026-06-01,3327.59,4300.00,29.22,-11.98,27.70,78.79,1.52,-49.57,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8725.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch1,総合,8411.T,みずほFG,条件付き,2025-06-02,2026-06-01,3864.05,7246.00,87.52,-24.63,27.70,78.79,59.83,8.73,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch1,総合,6503.T,三菱電機,条件付き,2025-06-02,2026-06-01,2845.04,6406.00,125.16,-16.31,27.70,78.79,97.47,46.37,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch2,半導体製造装置・材料,6857.T,アドバンテスト,条件付き,2025-06-02,2026-06-01,7066.17,25495.00,260.80,-28.86,27.70,78.79,233.11,182.01,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6857.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch2,半導体製造装置・材料,6146.T,ディスコ,条件付き,2025-06-02,2026-06-01,31661.84,63770.00,101.41,-24.72,27.70,78.79,73.71,22.62,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6146.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch2,半導体製造装置・材料,8035.T,東京エレクトロン,観察,2025-06-02,2026-06-01,22172.84,54300.00,144.89,-28.82,27.70,78.79,117.20,66.10,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8035.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch2,半導体製造装置・材料,7735.T,SCREEN HD,観察,2025-06-02,2026-06-01,4875.00,11085.00,127.38,-23.85,27.70,78.79,99.69,48.59,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/7735.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch2,半導体製造装置・材料,6920.T,レーザーテック,観察,2025-06-02,2026-06-01,13911.03,38730.00,178.41,-27.07,27.70,78.79,150.71,99.62,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6920.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch3,データセンター・電力・冷却・電線,7011.T,三菱重工業,購入検討候補,2025-06-02,2026-06-01,3320.16,3662.00,10.30,-29.31,27.70,78.79,-17.40,-68.50,FAIL,+1%超過未達,https://query1.finance.yahoo.com/v8/finance/chart/7011.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch3,データセンター・電力・冷却・電線,6503.T,三菱電機,購入検討候補,2025-06-02,2026-06-01,2845.04,6406.00,125.16,-16.31,27.70,78.79,97.47,46.37,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch3,データセンター・電力・冷却・電線,6501.T,日立製作所,購入検討候補,2025-06-02,2026-06-01,3932.13,5140.00,30.72,-22.83,27.70,78.79,3.02,-48.08,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6501.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch3,データセンター・電力・冷却・電線,5803.T,フジクラ,条件付き,2025-06-02,2026-06-01,1121.72,4633.00,313.03,-45.32,27.70,78.79,285.33,234.23,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/5803.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch3,データセンター・電力・冷却・電線,5801.T,古河電工,条件付き,2025-06-02,2026-06-01,6740.86,52390.00,677.20,-19.48,27.70,78.79,649.50,598.41,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/5801.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
